stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,j_eff,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782898564.603246,trajectory,0.127441,1.000000,0.000000,2,-0.012846947,-0.010951583,0.001895364,0.077819824,-0.000497641,-0.078317465,25.000000,5.800000,,0.385564169,-0.035705566,-0.406857195,-0.021293025,q_final,,,1.000000
1782898564.603246,trajectory,0.127441,1.000000,0.000000,3,0.013613701,0.009322936,-0.004290765,-0.210147858,-0.010545166,0.199602692,40.000000,4.830000,,-0.451624471,-0.030868530,0.792450406,0.340825936,q_final,,,1.000000
1782898564.603246,trajectory,0.127441,1.000000,0.000000,4,-0.002492905,-0.002681300,-0.000188396,-0.039611816,-0.004356336,0.035255481,24.000000,2.250000,,-0.091557065,-0.001296997,0.074803332,-0.016753733,q_final,,,1.000000
1782898564.603246,trajectory,0.127441,1.000000,0.000000,5,0.002109528,0.001492940,-0.000616587,0.058914185,-0.014257545,-0.073171730,15.000000,1.500000,,0.018823314,-0.019439697,-0.119006406,-0.100183092,q_final,,,1.000000
1782898564.603246,trajectory,0.127441,1.000000,0.000000,6,-0.009778976,-0.009110389,0.000668587,-0.021652222,0.006595003,0.028247224,12.000000,1.000000,,-0.012707288,0.019012451,0.036270271,0.023562983,q_final,,,1.000000
1782898564.615210,trajectory,0.139377,1.000000,0.000000,1,0.007862091,0.008625248,0.000763157,-0.047668457,0.008015798,0.055684255,35.000000,5.000000,,-0.228691182,0.025680542,0.305131759,0.076440577,q_final,,,1.000000
1782898564.615210,trajectory,0.139377,1.000000,0.000000,2,-0.012846947,-0.010958073,0.001888873,-0.000915527,-0.000591235,0.000324292,25.000000,5.800000,,0.353694806,-0.006408691,0.049102725,0.402797531,q_final,,,1.000000
1782898564.615210,trajectory,0.139377,1.000000,0.000000,3,0.013613701,0.009185392,-0.004428309,0.081237793,-0.012528457,-0.093766250,40.000000,4.830000,,0.685565087,-0.057329178,-0.630023340,0.055541747,q_final,,,1.000000
1782898564.615210,trajectory,0.139377,1.000000,0.000000,4,-0.002492905,-0.002738122,-0.000245217,-0.090641022,-0.005175657,0.085465365,24.000000,2.250000,,-0.108174881,0.016342163,0.186411865,0.078236983,q_final,,,1.000000
1782898564.615210,trajectory,0.139377,1.000000,0.000000,5,0.001726151,0.001306974,-0.000419176,-0.051864624,-0.016939045,0.034925579,15.000000,1.500000,,-0.104861366,-0.014739990,0.046100728,-0.058760638,q_final,,,1.000000
1782898564.615210,trajectory,0.139377,1.000000,0.000000,6,-0.009778976,-0.009024369,0.000754608,-0.039779663,0.007835363,0.047615027,12.000000,1.000000,,-0.025730777,0.023284912,0.056670321,0.030939544,q_final,,,1.000000
